Date, Close/Last, Volume, Open, High, Low
08/22/2017, $341.35, 4314268, $341.13, $342.24, $337.3725
08/21/2017, $337.86, 6489850, $345.82, $345.82, $331.85
08/18/2017, $347.46, 5390805, $352.91, $354, $345.8
08/17/2017, $351.92, 5010825, $361.21, $363.3, $351.59
08/16/2017, $362.91, 3406173, $363, $366.5, $362.52
08/15/2017, $362.33, 3084601, $365.2, $365.49, $359.37
08/14/2017, $363.8, 4507969, $364.63, $367.66, $362.6
08/11/2017, $357.87, 4357562, $356.97, $361.26, $353.62
08/10/2017, $355.4, 7063054, $361.6, $366.6504, $354.66
08/09/2017, $363.53, 6881182, $361, $370, $358.95
08/08/2017, $365.22, 7431838, $357.53, $368.58, $357.4
08/07/2017, $355.17, 6309331, $357.35, $359.48, $352.75
08/04/2017, $356.91, 9233295, $347, $357.27, $343.3
08/03/2017, $347.09, 13524270, $345.33, $350, $343.15
08/02/2017, $325.89, 11942350, $318.94, $327.12, $311.22
08/01/2017, $319.57, 8284997, $323, $324.45, $316.13
07/31/2017, $323.47, 8525454, $335.5, $341.49, $321.04
07/28/2017, $335.07, 4869891, $336.89, $339.6, $332.51
07/27/2017, $334.46, 8285879, $346, $347.5, $326.29
07/26/2017, $343.85, 4809514, $340.36, $345.5, $338.12
07/25/2017, $339.6, 6977932, $345, $345.6, $334.15
07/24/2017, $342.52, 8598292, $330.24, $343.399, $330.01
07/21/2017, $328.4, 4871708, $329.46, $331.2575, $325.8
07/20/2017, $329.92, 5142516, $326.9, $330.22, $324.2
07/19/2017, $325.26, 6345884, $328.23, $331.65, $323.2193
07/18/2017, $328.24, 6360710, $317.5, $329.13, $315.66
07/17/2017, $319.57, 9827506, $325.54, $327.1, $313.45
07/14/2017, $327.78, 5607924, $323.19, $328.42, $321.22
07/13/2017, $323.41, 8582315, $330.11, $331.6, $319.97
07/12/2017, $329.52, 10317240, $330.4, $333.1, $324.5
07/11/2017, $327.22, 11526760, $316, $327.28, $314.3
07/10/2017, $316.05, 13760290, $312.9, $317.94, $303.13
07/07/2017, $313.22, 14129950, $313.5, $317, $307.38
07/06/2017, $308.83, 19258040, $317.26, $320.7899, $306.3
07/05/2017, $327.09, 16998300, $347.2, $347.24, $326.33
07/03/2017, $352.62, 6305401, $370.24, $371.35, $351.5
06/30/2017, $361.61, 5823046, $363.71, $366.7674, $359.6187
06/29/2017, $360.75, 8202463, $370.61, $371, $354.1
06/28/2017, $371.24, 6290323, $366.68, $371.74, $362.52
06/27/2017, $362.37, 6977494, $376.4, $376.4, $362.02
06/26/2017, $377.49, 6596854, $386.69, $386.95, $373.1
06/23/2017, $383.45, 6425180, $382.45, $386.99, $379.345
06/22/2017, $382.61, 7510406, $377.99, $385, $373.57
06/21/2017, $376.4, 4916770, $374.35, $376.99, $368.02
06/20/2017, $372.24, 7419110, $376.67, $378.88, $369.73
06/19/2017, $369.8, 6433434, $375, $376.7, $367.8
06/16/2017, $371.4, 6347450, $377.975, $378.01, $370.1
06/15/2017, $375.34, 10412650, $372.5, $375.46, $366.49
06/14/2017, $380.66, 12778480, $381.085, $384.25, $376.31
06/13/2017, $375.95, 11773370, $367.62, $376, $366.61
06/12/2017, $359.01, 10507860, $357.99, $364.5, $350.62
06/09/2017, $357.32, 17250060, $374.42, $376.87, $354.8
06/08/2017, $370, 9028677, $363.75, $371.9, $360.22
06/07/2017, $359.65, 9348692, $356.34, $360.5, $355.14
06/06/2017, $352.85, 11031920, $344.7, $359.4929, $339.97
06/05/2017, $347.32, 6769174, $338.5, $348.44, $334.21
06/02/2017, $339.85, 5583952, $339.77, $342.88, $335.93
06/01/2017, $340.37, 7601764, $344, $344.88, $337.29
05/31/2017, $341.01, 9937556, $337.69, $342.89, $335.16
05/30/2017, $335.1, 7771536, $326, $336.28, $325.76
05/26/2017, $325.14, 7793009, $317.28, $325.49, $316.31
05/25/2017, $316.83, 5000432, $311.02, $316.97, $307.81
05/24/2017, $310.22, 5035192, $306.51, $311, $305.4
05/23/2017, $303.86, 4314267, $310.46, $310.73, $303.48
05/22/2017, $310.35, 4324305, $312.8, $314.37, $306.8
05/19/2017, $310.83, 4654580, $315.5, $316.5, $310.2
05/18/2017, $313.06, 5609153, $307, $313.94, $305.31
05/17/2017, $306.11, 6695657, $314.39, $314.63, $305.5
05/16/2017, $317.01, 4141066, $317.59, $320.06, $315.14
05/15/2017, $315.88, 7606854, $318.38, $320.2, $312.53
05/12/2017, $324.81, 4118613, $325.48, $327, $321.53
05/11/2017, $323.1, 4747172, $323.4, $326, $319.6
05/10/2017, $325.22, 5734524, $321.56, $325.5, $318.12
05/09/2017, $321.26, 9663374, $309.38, $321.99, $309.1
05/08/2017, $307.19, 7002907, $310.9, $313.79, $305.82
05/05/2017, $308.35, 8117449, $298, $308.55, $296.8
05/04/2017, $295.46, 14135990, $307.435, $307.77, $290.7601
05/03/2017, $311.02, 6879259, $317.67, $321.53, $310.45
05/02/2017, $318.89, 5316551, $324, $327.6599, $316.5601
05/01/2017, $322.83, 8819888, $314.88, $327.25, $314.81
04/28/2017, $314.07, 4496659, $309.83, $314.8, $308
04/27/2017, $308.63, 3462663, $311.69, $313.09, $307.5
04/26/2017, $310.17, 4683131, $312.37, $314.5, $309
04/25/2017, $313.79, 6734162, $308, $313.98, $305.86
04/24/2017, $308.03, 5077771, $309.22, $310.55, $306.0215
04/21/2017, $305.6, 4501958, $302, $306.4, $300.42
04/20/2017, $302.51, 6145961, $306.51, $309.15, $300.23
04/19/2017, $305.52, 3891145, $302.46, $306.62, $302.11
04/18/2017, $300.25, 3034225, $299.7, $300.8399, $297.9
04/17/2017, $301.44, 4128067, $302.7, $304, $298.68
04/13/2017, $304, 9275682, $296.7, $307.39, $295.3
04/12/2017, $296.84, 6043648, $306.34, $308.4481, $296.32
04/11/2017, $308.71, 5718053, $313.38, $313.47, $305.5
04/10/2017, $312.39, 7653623, $309.15, $313.7299, $308.71
04/07/2017, $302.54, 4566632, $297.5, $302.69, $297.15
04/06/2017, $298.7, 5517731, $296.88, $301.94, $294.1
04/05/2017, $295, 7858565, $302.04, $304.88, $294.2
04/04/2017, $303.7, 10108230, $296.89, $304.81, $294.53
04/03/2017, $298.52, 13864850, $286.9, $299, $284.58
03/31/2017, $278.3, 3293698, $278.73, $279.68, $276.3197
03/30/2017, $277.92, 4141437, $278.04, $282, $277.21
03/29/2017, $277.38, 3672526, $278.34, $279.6, $275.54
03/28/2017, $277.45, 7978665, $277.02, $280.68, $275
03/27/2017, $270.22, 6221361, $260.6, $270.57, $259.75
03/24/2017, $263.16, 5637668, $255.7, $263.89, $255.01
03/23/2017, $254.78, 3309844, $255.39, $257.672, $253.3
03/22/2017, $255.01, 4056735, $251.56, $255.07, $250.51
03/21/2017, $250.68, 6901555, $262.83, $264.8, $250.24
03/20/2017, $261.92, 3601616, $260.6, $264.55, $258.821
03/17/2017, $261.5, 6491018, $264, $265.33, $261.2
03/16/2017, $262.05, 7127180, $262.4, $265.75, $259.06
03/15/2017, $255.73, 5233365, $257, $261, $254.27
03/14/2017, $258, 7581719, $246.11, $258.12, $246.02
03/13/2017, $246.17, 3011280, $244.82, $246.85, $242.781
03/10/2017, $243.69, 3062785, $246.21, $246.5, $243
03/09/2017, $244.9, 3876494, $247.63, $248.66, $243
03/08/2017, $246.87, 3726746, $247, $250.07, $245.32
03/07/2017, $248.59, 3452587, $251.92, $253.89, $248.32
03/06/2017, $251.21, 3353601, $247.91, $251.7, $247.51
03/03/2017, $251.57, 2925481, $250.74, $251.9, $249
03/02/2017, $250.48, 3345751, $249.71, $253.28, $248.27
03/01/2017, $250.02, 4804963, $254.18, $254.85, $249.11
02/28/2017, $249.99, 6073890, $244.19, $251, $243.9
02/27/2017, $246.23, 11450160, $248.17, $248.36, $242.01
02/24/2017, $257, 8166869, $252.66, $258.25, $250.2
02/23/2017, $255.99, 14877090, $264, $264.66, $255.56
02/22/2017, $273.51, 8537811, $280.31, $283.45, $272.6
02/21/2017, $277.39, 5647575, $275.45, $281.4, $274.01
02/17/2017, $272.23, 6251469, $265.8, $272.89, $264.15
02/16/2017, $268.95, 7063860, $277.6, $280, $268.5
02/15/2017, $279.76, 4943879, $280, $282.24, $276.44
02/14/2017, $280.98, 7341450, $279.03, $287.39, $278.61
02/13/2017, $280.6, 7023072, $270.74, $280.7899, $270.51
02/10/2017, $269.23, 3618336, $269.79, $270.95, $266.11
02/09/2017, $269.2, 7812600, $266.25, $271.18, $266.15
02/08/2017, $262.08, 3912428, $257.35, $263.36, $256.2
02/07/2017, $257.48, 4244063, $258.19, $260, $256.42
02/06/2017, $257.77, 3557600, $251, $257.82, $250.63
02/03/2017, $251.33, 2185230, $251.91, $252.179, $249.68
02/02/2017, $251.55, 2498799, $248.34, $252.42, $247.71
02/01/2017, $249.24, 3953105, $253.05, $253.2, $249.05
01/31/2017, $251.93, 4112013, $249.24, $255.89, $247.7
01/30/2017, $250.63, 3798638, $252.53, $255.2899, $247.1
